"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"ZNF620","ZNF620",0.000827266909393554,0.00139793794484304,-147.375689479274,-157.851526401375,7,2,3389.13243634651,0,0,FALSE
"ZNF621","ZNF621",1.16700072878137e-14,3.41103736077085e-14,-150.103052909431,-187.367146233154,7,2,3712.09558067345,0,0,FALSE
"MXRA8","MXRA8",8.06053890670873e-101,1.3246667320434e-99,-439.235232948491,-677.641916151725,7,2,1234.7135955326,0,0,FALSE
"SDC3","SDC3",3.93960630704383e-37,2.28291531082038e-36,-167.921629212774,-258.232971313922,7,2,6182.2857830279,0,0,FALSE
"CTNNB1","CTNNB1",8.05046698358404e-09,1.824508463169e-08,-234.953991030858,-258.082575295068,7,2,107500.593836187,0,0,FALSE
"ULK4","ULK4",2.98429922147207e-16,9.28191342056761e-16,-158.266275479649,-199.338895105307,7,2,1526.90113002994,0,0,FALSE
"TRAK1","TRAK1",2.44125723006727e-15,7.33422777100809e-15,-159.037333911113,-197.92837568244,7,2,8333.07091489708,0,0,FALSE
"CCK","CCK",2.88724620800817e-06,5.69824016611819e-06,-95.5850773483348,-112.37468768151,7,2,111.349386655635,0,0,FALSE
"PUM1","PUM1",1.92794894842295e-22,7.4939909817604e-22,-212.874426101189,-268.648904581764,7,2,23497.2752201101,0,0,FALSE
"VIPR1","VIPR1",8.96902677439199e-96,1.37375222500278e-94,-112.368515085408,-339.080352630279,7,2,622.038631981838,0,0,FALSE
"SEC22C","SEC22C",2.21889566870527e-10,5.40119702052611e-10,-170.277967467229,-197.217674036682,7,2,5168.82182797578,0,0,FALSE
"SS18L2","SS18L2",6.15652658809758e-16,1.89402791156754e-15,-150.571276451404,-190.892733056153,7,2,2952.56809186926,0,0,FALSE
"NKTR","NKTR",8.09247262163852e-10,1.92077199509059e-09,-178.115777314568,-203.686235832163,7,2,13755.8608555524,0,0,FALSE
"LOC101928323","LOC101928323",1.14791394288162e-09,2.70592067222104e-09,-127.529260028429,-152.729064185799,7,2,652.845943527506,0,0,FALSE
"ZBTB47","ZBTB47",2.45953548559985e-27,1.10268221516659e-26,-330.52815525859,-397.84971542308,7,2,770.661840950958,0,0,FALSE
"KLHL40","KLHL40",2.05970376857195e-05,3.86670543853018e-05,-36.1832152690395,-50.8142911836325,7,2,2.95445721858446,0,0,FALSE
"HHATL","HHATL",1.75190839031911e-13,4.87109447301068e-13,-50.5211532148809,-84.9614405372657,7,2,8.10366702901462,0,0,FALSE
"CCDC13","CCDC13",1.04504359177648e-08,2.35562228841641e-08,-93.9195943186956,-116.76987818106,7,2,38.2424945256758,0,0,FALSE
