,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9010,32.1660139072882,1.58769444855252,0.490155788515928,3.23916290647034,0.00119881080522861,0.0250282685763493,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_28478,13.4642813187619,-2.59287046351019,0.76455752439837,-3.3913347011404,0.000695531047211807,0.0168194659586677,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_28482,23.4402169174235,-2.30700449887848,0.602735126545177,-3.8275593992705,0.000129420158041123,0.00507524264147093,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_26244,67.5576596013432,-1.12940162638715,0.333672648924979,-3.38475937427246,0.000712406764286167,0.0170598668657042,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_28491,21.097157302487,2.25207846879019,0.663843982570184,3.39248155880074,0.000692625941282627,0.0167936919041194,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36669,17.3727136708835,-2.76535939624401,0.681176356313777,-4.05968200541913,4.91395921796535e-05,0.00255468061308115,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36670,33.0104589841087,-2.14052131090825,0.49018465961588,-4.36676519535639,1.26100159684341e-05,0.000897790287383683,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32547,54.5354171610024,1.21224875587303,0.392779007891167,3.08633794453934,0.00202638370499005,0.0360023702110679,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_2015,17.4817301812615,2.16180502475028,0.694103601224428,3.11452789026994,0.00184239537746151,0.0335670705634028,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36678,19.3603312535266,2.40999775487465,0.709607103300095,3.3962424328431,0.000683178208114842,0.0166304285299856,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_39851,38.2975832836625,1.86452748813462,0.463670894250368,4.02123038399696,5.78949473178961e-05,0.00283686757416143,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36682,24.3954868001315,-2.37343716619308,0.566882392320232,-4.18682463655058,2.82884217831206e-05,0.00164317838629653,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_30057,54.1261031719705,-1.42605888542122,0.367673951547126,-3.87859645596471,0.000105060869184905,0.00439622036490846,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9080,20.481885576053,-2.75009858050716,0.639846608477987,-4.29805916616306,1.72300175847615e-05,0.0011383065446257,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9081,22.1773635518051,-2.55374705948106,0.604493509641161,-4.22460625093727,2.39358903766964e-05,0.00146578595494705,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7211,15.1975797064568,-2.24946737788424,0.69228989634258,-3.24931418148429,0.00115683630598204,0.0243425246509119,6hrs_72hrs.H3K27ac.DESeq2_results.csv
