Module,3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_14438,94,89,80,88
Module_14439,40,53,48,52
Module_14440,72,38,62,47
Module_12943,139,86,128,161
Module_14441,31,23,26,29
Module_17406,14,12,38,25
Module_14442,44,27,48,63
Module_17407,2,7,9,6
Module_5550,77,66,88,71
Module_22281,30,36,42,22
Module_22282,55,42,123,125
Module_17408,70,48,23,26
Module_5551,93,107,87,91
Module_17409,74,58,38,38
Module_14443,36,22,60,37
Module_5552,45,20,36,35
Module_12944,141,113,111,144
Module_5553,2,4,18,15
Module_83,34,28,33,45
Module_17410,99,97,88,94
Module_17411,48,34,74,55
Module_22283,91,83,75,100
Module_22284,16,18,11,46
Module_17412,30,38,52,78
Module_17413,140,135,115,89
Module_22285,12,9,8,11
Module_5554,34,25,32,43
Module_12945,65,61,68,95
Module_5555,50,28,26,34
Module_12946,34,59,26,35
Module_14444,53,33,32,18
Module_17414,49,26,29,32
Module_33358,48,40,16,33
Module_17415,55,27,30,33
Module_17416,30,17,47,28
Module_17417,56,32,53,49
Module_33359,20,8,20,12
Module_17418,80,56,113,152
Module_33360,40,32,35,36
Module_14445,28,19,13,13
Module_22286,2,0,25,8
Module_14446,12,11,14,11
